"method.set"	"coverage.set"	"smaller.set"	"bigger.set"	"truemean.set"	"bootmean.set"	"n.set"	"B.set"	"round.set"	"difference.set"	"length.set"	"distribution.set"
3	0.21	0	0	9.888	9.8411941066458	50	10	100	0.046805893354195	-1.95378891069173	"normal"
1	0.22	0	0	9.888	9.94394029439477	50	10	100	-0.0559402943947749	-3.32653712619443	"normal"
2	0.2	0	0.02	9.888	9.61816820022354	50	10	100	0.269831799776458	-1.82903940897353	"normal"
3	0.22	0	0	9.888	9.31944073615373	50	10	100	0.568559263846272	-3.99336115194173	"normal"
1	0.22	0	0.01	9.888	9.26010662876812	50	10	100	0.627893371231879	-1.09128173229289	"normal"
2	0.21	0	0.02	9.888	9.30653961743131	50	10	100	0.581460382568691	-2.69689566553334	"normal"
3	0.23	0	0	9.888	9.32505846790237	50	10	100	0.562941532097629	-4.94060637641868	"normal"
1	0.23	0	0.01	9.888	9.6741776087316	50	10	100	0.213822391268396	-2.48666952962226	"normal"
2	0.22	0	0.02	9.888	9.06938515325402	50	10	100	0.818614846745982	-2.64600360608394	"normal"
3	0.24	0	0	9.888	8.90877946116266	50	10	100	0.979220538837335	-3.29362093368047	"normal"
1	0.24	0	0.01	9.888	9.27973317955573	50	10	100	0.608266820444266	-3.64747673076247	"normal"
2	0.22	0	0.03	9.888	9.3120793038192	50	10	100	0.5759206961808	-1.80660935771592	"normal"
3	0.25	0	0	9.888	9.41373973970282	50	10	100	0.474260260297177	-2.51628873501004	"normal"
1	0.25	0	0.01	9.888	8.85294642598094	50	10	100	1.03505357401906	-4.30150266149407	"normal"
2	0.23	0	0.03	9.888	9.2875479995828	50	10	100	0.600452000417201	-2.7735289928519	"normal"
3	0.26	0	0	9.888	9.76537635069625	50	10	100	0.122623649303755	-2.53183138552289	"normal"
1	0.26	0	0.01	9.888	9.61135956380972	50	10	100	0.276640436190284	-2.89020156380053	"normal"
2	0.24	0	0.03	9.888	9.05228873923508	50	10	100	0.835711260764915	-1.75032406970144	"normal"
3	0.27	0	0	9.888	8.94944034128873	50	10	100	0.938559658711268	-2.36632620770207	"normal"
1	0.27	0	0.01	9.888	9.34254244618098	50	10	100	0.545457553819022	-3.83436084546312	"normal"
2	0.25	0	0.03	9.888	9.13687359870305	50	10	100	0.751126401296949	-3.4270037369933	"normal"
3	0.28	0	0	9.888	9.62114969746185	50	10	100	0.266850302538149	-2.91456276205174	"normal"
1	0.28	0	0.01	9.888	9.66589267654194	50	10	100	0.222107323458058	-4.2904118317831	"normal"
2	0.26	0	0.03	9.888	9.08960328999209	50	10	100	0.798396710007909	-1.96680637657282	"normal"
3	0.29	0	0	9.888	9.67782950928241	50	10	100	0.210170490717594	-1.89525175623143	"normal"
1	0.29	0	0.01	9.888	8.73833998732696	50	10	100	1.14966001267303	-3.07617337055333	"normal"
2	0.27	0	0.03	9.888	9.15222690968552	50	10	100	0.735773090314483	-3.8466579372906	"normal"
3	0.3	0	0	9.888	9.95846399421509	50	10	100	-0.0704639942150873	-2.46377835505656	"normal"
1	0.3	0	0.01	9.888	9.40237529711514	50	10	100	0.485624702884865	-3.51019758668066	"normal"
2	0.28	0	0.03	9.888	9.46397564774317	50	10	100	0.424024352256827	-2.97138440237111	"normal"
3	0.31	0	0	9.888	9.73989346439228	50	10	100	0.148106535607715	-2.1112206685694	"normal"
1	0.31	0	0.01	9.888	8.8393117724773	50	10	100	1.0486882275227	-3.03568197129122	"normal"
2	0.29	0	0.03	9.888	9.28481713907812	50	10	100	0.603182860921883	-1.97238622877605	"normal"
3	0.32	0	0	9.888	9.33280396437806	50	10	100	0.555196035621941	-2.89490325415722	"normal"
1	0.32	0	0.01	9.888	9.07497867083266	50	10	100	0.813021329167343	-1.63009058256484	"normal"
2	0.3	0	0.03	9.888	9.40617443438275	50	10	100	0.481825565617253	-1.20505357376173	"normal"
3	0.33	0	0	9.888	9.71243555818479	50	10	100	0.175564441815208	-3.13170521517021	"normal"
1	0.33	0	0.01	9.888	8.97696335404465	50	10	100	0.911036645955347	-3.36273214685351	"normal"
2	0.31	0	0.03	9.888	9.30014199823409	50	10	100	0.587858001765907	-2.90923893480661	"normal"
3	0.34	0	0	9.888	9.48137112175318	50	10	100	0.406628878246819	-1.90099062834035	"normal"
1	0.34	0	0.01	9.888	9.09780127268732	50	10	100	0.790198727312681	-2.08170869804824	"normal"
2	0.32	0	0.03	9.888	9.63090109176542	50	10	100	0.257098908234576	-2.56152894879716	"normal"
3	0.35	0	0	9.888	9.62011294865241	50	10	100	0.267887051347591	-2.28648984894383	"normal"
